Household,Income,Consumption,Savings,Household_Size,Urban,Region
1,42000,33000,9000,3,0,Rural
2,52000,40500,11500,4,0,Rural
3,61000,46200,14800,2,0,Rural
4,75000,55500,19500,5,0,Rural
5,83000,62000,21000,3,1,Urban
6,91000,69000,22000,4,0,Rural
7,105000,78500,26500,4,1,Urban
8,116000,85000,31000,5,1,Urban
9,128000,93500,34500,3,1,Urban
10,142000,103000,39000,4,1,Urban
11,158000,115500,42500,5,1,Urban
12,176000,128000,48000,3,1,Urban
13,192000,139000,53000,4,1,Urban
14,215000,154000,61000,5,1,Urban
15,238000,168500,69500,4,1,Urban
16,265000,187000,78000,5,1,Urban
17,292000,203500,88500,3,1,Urban
18,325000,225000,100000,4,1,Urban
19,360000,248000,112000,5,1,Urban
20,405000,281000,124000,4,1,Urban
21,48000,38500,9500,6,0,Rural
22,68000,51500,16500,5,0,Rural
23,97000,76000,21000,6,0,Rural
24,133000,100500,32500,6,1,Urban
25,171000,129500,41500,6,1,Urban
26,221000,166000,55000,6,1,Urban
27,279000,205000,74000,6,1,Urban
28,335000,242000,93000,6,1,Urban
29,390000,286000,104000,6,1,Urban
30,450000,326000,124000,6,1,Urban
