Household,Income,Debt,Savings,Late_Payments,Employed,Debt_to_Income,High_Risk
1,53500,21000,3117,1,1,0.393,0
2,62000,30000,3060,2,1,0.484,1
3,70500,39000,10927,3,1,0.553,1
4,79000,48000,11720,4,1,0.608,1
5,87500,57000,2000,5,1,0.651,1
6,96000,66000,10080,6,0,0.688,1
7,104500,75000,11085,0,1,0.718,1
8,113000,84000,12515,1,1,0.743,1
9,121500,12000,21870,2,1,0.099,0
10,130000,21000,7900,5,1,0.162,1
11,138500,75000,9542,4,1,0.542,1
12,147000,39000,19110,5,0,0.265,1
13,155500,48000,21602,6,1,0.309,1
14,164000,57000,24520,0,1,0.348,0
15,172500,66000,13800,1,1,0.383,0
16,181000,75000,16505,2,1,0.414,1
17,189500,84000,19635,3,1,0.443,1
18,198000,12000,30690,4,0,0.061,1
19,206500,21000,34670,5,1,0.102,0
20,215000,30000,12200,8,1,0.14,1
21,223500,39000,23467,0,1,0.174,0
22,232000,93000,27660,1,1,0.401,0
23,240500,57000,32277,2,1,0.237,0
24,249000,66000,44820,3,0,0.265,1
25,257500,75000,18100,4,1,0.291,1
26,266000,84000,22930,5,1,0.316,1
27,274500,12000,35685,6,1,0.044,1
28,283000,21000,41365,0,1,0.074,0
29,291500,30000,47470,1,1,0.103,0
30,300000,39000,24000,4,0,0.13,1
31,308500,48000,29892,3,1,0.156,0
32,317000,57000,36210,4,1,0.18,0
33,325500,111000,50452,5,1,0.341,1
34,334000,75000,57620,6,1,0.225,1
35,342500,84000,22400,0,1,0.245,0
36,351000,12000,36855,1,0,0.034,0
37,359500,21000,44235,2,1,0.058,0
38,368000,30000,52040,3,1,0.082,0
39,376500,39000,67770,4,1,0.104,0
40,385000,48000,28300,7,1,0.125,1
