Household,Education,Age,Experience,Urban,Income
1,10,24,2,0,36000
2,11,26,4,0,42000
3,12,28,5,1,51000
4,13,31,7,1,62000
5,14,33,8,1,71000
6,9,35,12,0,48000
7,12,37,13,0,65000
8,15,39,14,1,91000
9,16,41,16,1,108000
10,10,43,20,0,63000
11,13,45,21,1,92000
12,17,47,22,1,128000
13,8,49,25,0,57000
14,12,51,27,0,78000
15,14,53,29,1,106000
16,16,55,31,1,137000
17,18,57,33,1,158000
18,11,29,6,0,52000
19,15,34,10,1,97000
20,17,38,15,1,133000
21,9,42,19,0,59000
22,13,46,23,0,87000
23,16,50,27,1,142000
24,18,54,30,1,166000
