Household,Income,Consumption,Savings,Household_Size,Education_Years,Digital_Access,Region
1,54000,34830,19170,3,9,1,Central
2,70000,46900,23100,4,10,1,Southern
3,86000,59770,26230,5,11,1,Northern
4,102000,73440,28560,6,12,0,Eastern
5,118000,87910,30090,2,13,1,Western
6,134000,83080,50920,3,14,1,Central
7,150000,96750,53250,4,15,1,Southern
8,166000,111220,54780,5,16,0,Northern
9,182000,126490,55510,6,17,1,Eastern
10,198000,142560,55440,2,8,1,Western
11,214000,159430,54570,3,9,1,Central
12,230000,142600,87400,4,10,0,Southern
13,246000,158670,87330,5,11,1,Northern
14,262000,175540,86460,6,12,1,Eastern
15,83000,57685,25315,2,13,1,Western
16,99000,71280,27720,3,14,0,Central
17,115000,85675,29325,4,15,1,Southern
18,131000,81220,49780,5,16,1,Northern
19,147000,94815,52185,6,17,1,Eastern
20,163000,109210,53790,2,8,0,Western
21,179000,124405,54595,3,9,1,Central
22,195000,140400,54600,4,10,1,Southern
23,211000,157195,53805,5,11,1,Northern
24,227000,140740,86260,6,12,0,Eastern
25,243000,156735,86265,2,13,1,Western
26,259000,173530,85470,3,14,1,Central
27,275000,191125,83875,4,15,1,Southern
28,291000,209520,81480,5,16,0,Northern
29,307000,228715,78285,6,17,1,Eastern
30,128000,79360,48640,2,8,1,Western
31,144000,92880,51120,3,9,1,Central
32,160000,107200,52800,4,10,0,Southern
33,176000,122320,53680,5,11,1,Northern
34,192000,138240,53760,6,12,1,Eastern
35,208000,154960,53040,2,13,1,Western
36,224000,138880,85120,3,14,0,Central
37,240000,154800,85200,4,15,1,Southern
38,256000,171520,84480,5,16,1,Northern
39,272000,189040,82960,6,17,1,Eastern
40,288000,207360,80640,2,8,0,Western
41,304000,226480,77520,3,9,1,Central
42,320000,198400,121600,4,10,1,Southern
43,336000,216720,119280,5,11,1,Northern
44,352000,235840,116160,6,12,0,Eastern
45,173000,120235,52765,2,13,1,Western
