Date,Inflation,Unemployment,Exchange_Rate,Tourism_Index
2022-01-01,7.73,5.74,199.9,72
2022-02-01,7.66,5.72,201.8,75
2022-03-01,7.59,5.46,206.7,59
2022-04-01,8.02,5.44,208.6,62
2022-05-01,7.95,5.42,207.5,58
2022-06-01,7.88,5.41,209.4,60
2022-07-01,7.31,5.39,211.3,70
2022-08-01,7.24,5.38,213.2,72
2022-09-01,7.17,5.37,215.1,75
2022-10-01,7.1,5.35,217.0,78
2022-11-01,7.33,5.33,218.9,80
2022-12-01,7.26,5.32,220.8,101
2023-01-01,6.89,5.55,222.7,103
2023-02-01,6.82,5.54,224.6,106
2023-03-01,6.75,5.28,229.5,91
2023-04-01,7.18,5.26,231.4,93
2023-05-01,7.11,5.25,230.3,89
2023-06-01,7.04,5.23,232.2,91
2023-07-01,6.47,5.21,234.1,101
2023-08-01,6.4,5.2,236.0,104
2023-09-01,6.33,5.18,237.9,106
2023-10-01,6.26,5.17,239.8,109
2023-11-01,6.49,5.16,241.7,111
2023-12-01,6.42,5.14,243.6,132
2024-01-01,6.05,5.38,245.5,135
2024-02-01,5.98,5.36,247.4,137
2024-03-01,5.91,5.09,252.3,122
2024-04-01,6.34,5.08,254.2,124
2024-05-01,6.27,5.07,253.1,120
2024-06-01,6.2,5.05,255.0,123
2024-07-01,5.63,5.04,256.9,132
2024-08-01,5.56,5.02,258.8,135
2024-09-01,5.49,5.0,260.7,137
2024-10-01,5.42,4.99,262.6,140
2024-11-01,5.65,4.97,264.5,143
2024-12-01,5.58,4.96,266.4,163
2025-01-01,5.21,5.2,268.3,166
2025-02-01,5.14,5.18,270.2,168
2025-03-01,5.07,4.92,275.1,153
2025-04-01,5.5,4.9,277.0,156
2025-05-01,5.43,4.88,275.9,151
2025-06-01,5.36,4.87,277.8,154
2025-07-01,4.79,4.86,279.7,163
2025-08-01,4.72,4.84,281.6,166
2025-09-01,4.65,4.83,283.5,169
2025-10-01,4.58,4.81,285.4,171
2025-11-01,4.81,4.79,287.3,174
2025-12-01,4.74,4.78,289.2,194
